loan_id,order_id,loan_amount,interest_rate,loan_tenure_months,emi_amount,loan_status,credit_score_band,default_flag
1,11500,2086730,10.2,60,34778.83,Closed,Medium,0
2,6476,1921062,7.59,48,40022.12,Active,High,0
3,13168,1654492,8.59,36,45958.11,Default,Medium,0
4,863,744559,13.84,48,15511.65,Active,Medium,0
5,5971,1536697,11.99,72,21343.01,Active,Medium,1
6,6707,2117879,11.62,72,29414.99,Closed,Medium,1
7,3018,1112750,8.97,36,30909.72,Active,Medium,0
8,3782,673655,11.54,72,9356.32,Active,Low,1
9,3899,2459137,14.04,24,102464.04,Active,Medium,1
10,2251,587228,12.56,48,12233.92,Active,High,0
11,543,1291908,12.04,48,26914.75,Active,Low,1
12,4352,1093192,13.17,48,22774.83,Closed,Medium,1
13,12808,589375,14.44,24,24557.29,Closed,Medium,0
14,6632,1191162,9.56,72,16543.92,Active,High,0
15,6706,1474660,12.12,36,40962.78,Default,High,0
16,6979,714013,9.74,72,9916.85,Active,Medium,0
17,7400,1876659,12.27,24,78194.12,Active,Medium,0
18,11120,699402,8.49,24,29141.75,Closed,Medium,0
19,12666,1053537,10.93,24,43897.38,Active,High,1
20,5305,765144,8.02,36,21254,Default,Low,1
21,2313,845838,8.48,60,14097.3,Active,High,0
22,7041,2145192,10,72,29794.33,Active,Low,0
23,1890,1819281,10.34,60,30321.35,Active,Low,1
24,8992,1129281,13.62,24,47053.38,Active,Medium,0
25,170,647158,8.61,36,17976.61,Closed,Low,1
26,1796,1815135,9.4,72,25210.21,Closed,Medium,0
27,3976,720080,8.6,48,15001.67,Active,Low,1
28,6821,1866914,9.86,36,51858.72,Active,High,0
29,7827,1004111,13.17,60,16735.18,Active,Medium,0
30,11810,1436517,9.85,72,19951.62,Active,High,1
31,1040,2335294,10.2,60,38921.57,Active,High,0
32,2849,846449,12.51,24,35268.71,Closed,Low,1
33,3372,880922,8.89,60,14682.03,Active,Medium,0
34,8830,732183,8.96,72,10169.21,Default,High,0
35,10350,2113875,8.4,60,35231.25,Closed,Low,1
36,8798,2013342,13.23,48,41944.62,Closed,Medium,1
37,765,1284137,11.58,72,17835.24,Closed,Medium,1
38,1594,897853,12.29,60,14964.22,Active,High,0
39,14233,1254024,10.23,48,26125.5,Closed,Low,0
40,5873,928666,10.76,72,12898.14,Closed,Low,0
41,9941,1991809,13.37,72,27664.01,Closed,Medium,1
42,5170,1242280,11.95,24,51761.67,Closed,High,0
43,10910,643623,13.32,48,13408.81,Active,Low,0
44,4123,1829183,11.94,72,25405.32,Closed,High,0
