order_id,customer_id,vehicle_id,dealer_id,order_date,delivery_date,booking_amount,final_price,discount_amount,order_status,payment_type
1,3796,5,36,05-08-2025,31-08-2025,83768,2660673,139327,Delivered,Card
2,4559,8,8,08-08-2025,22-08-2025,73166,1198342,101658,Delivered,Card
3,367,6,33,31-12-2024,06-01-2025,185268,3151355,48645,Delivered,Net Banking
4,360,5,36,20-04-2025,26-04-2025,97691,2744518,55482,Delivered,Net Banking
5,2938,5,31,07-11-2023,28-11-2023,154631,2671733,128267,Delivered,Loan
6,342,12,38,24-11-2025,30-11-2025,71871,1522583,77417,Delivered,Loan
7,3569,7,17,08-08-2023,26-08-2023,74580,1480753,19247,Pending,Loan
8,2904,7,9,10-08-2024,29-08-2024,196502,1355043,144957,Delivered,Net Banking
9,3121,6,28,22-05-2024,05-07-2024,69416,3127701,72299,Delivered,UPI
10,3414,11,9,18-04-2025,01-05-2025,73116,1133963,16037,Pending,Card
11,4555,7,1,30-12-2023,21-01-2024,122638,1363649,136351,Delivered,Net Banking
12,653,10,40,16-04-2024,21-04-2024,183415,783818,66182,Delivered,Loan
13,994,12,17,05-02-2024,14-03-2024,114459,1505419,94581,Delivered,Loan
14,2524,2,38,28-01-2026,09-02-2026,170481,1621944,78056,Cancelled,UPI
15,2963,4,20,30-01-2025,04-03-2025,197008,1056408,43592,Delivered,Loan
16,762,12,27,18-08-2024,22-09-2024,64757,1533626,66374,Cancelled,Loan
17,1811,3,26,11-07-2023,16-08-2023,195907,2487949,12051,Delivered,Net Banking
18,4332,12,27,24-03-2025,19-04-2025,89124,1490386,109614,Delivered,Card
19,3012,11,35,14-09-2024,30-09-2024,187766,1098359,51641,Pending,UPI
20,908,9,14,02-04-2025,16-04-2025,147915,875652,74348,Delivered,Net Banking
21,4178,9,22,12-05-2026,13-06-2026,160731,861875,88125,Delivered,Net Banking
22,4057,9,2,29-04-2024,12-06-2024,123018,835346,114654,Delivered,Card
23,3930,5,18,22-10-2024,02-12-2024,174503,2704685,95315,Delivered,UPI
24,1893,6,13,30-06-2023,10-07-2023,134509,3064807,135193,Cancelled,Loan
25,4913,11,11,18-12-2023,24-01-2024,121968,1011931,138069,Delivered,Net Banking
26,2265,2,5,15-05-2026,29-06-2026,188035,1613682,86318,Delivered,Card
27,3511,8,21,16-05-2025,28-05-2025,179242,1259116,40884,Delivered,Loan
28,1836,5,40,19-05-2025,19-06-2025,133438,2696784,103216,Delivered,Loan
29,3571,5,8,15-09-2023,29-10-2023,165500,2684277,115723,Delivered,Net Banking
30,1947,12,1,13-08-2024,21-08-2024,142002,1535856,64144,Delivered,Card
31,500,2,26,25-06-2023,12-07-2023,72508,1680134,19866,Delivered,Loan
32,4716,8,10,28-10-2023,13-11-2023,87901,1216395,83605,Delivered,Loan
33,4436,12,14,28-08-2023,21-09-2023,175723,1546119,53881,Delivered,UPI
34,4651,11,34,26-12-2024,16-01-2025,62927,1025734,124266,Pending,UPI
35,2250,1,14,23-05-2025,09-06-2025,195109,1711354,88646,Delivered,Loan
36,1796,8,16,07-01-2024,04-02-2024,154630,1151855,148145,Delivered,Net Banking
