service_id,vehicle_id,customer_id,service_date,service_type,service_cost,dealer_id,satisfaction_score
1,3,1295,09-04-2026,General Service,15092,21,2
2,10,927,30-12-2024,General Service,36161,19,4
3,6,2652,15-12-2023,Oil Change,16930,31,3
4,8,3539,07-03-2026,Engine Repair,14446,11,3
5,1,1909,15-01-2024,Engine Repair,29304,10,2
6,6,2034,26-01-2025,Oil Change,14875,33,2
7,12,1108,02-05-2025,Wheel Alignment,41371,38,2
8,7,3163,20-10-2024,Battery Replacement,33223,23,4
9,2,4376,13-10-2024,Oil Change,19432,27,3
10,8,833,27-11-2023,General Service,21562,6,4
11,12,87,08-04-2024,Oil Change,19952,14,3
12,3,36,31-12-2024,Engine Repair,39463,36,5
13,4,1913,01-07-2024,Battery Replacement,24967,34,4
14,3,1940,14-03-2024,General Service,28345,12,2
15,7,3063,20-07-2023,Battery Replacement,39929,4,5
16,9,1275,25-09-2025,Engine Repair,38220,4,2
17,10,2071,10-05-2024,Engine Repair,27723,30,3
18,9,3150,31-01-2025,Oil Change,43445,37,5
19,6,4688,13-10-2025,Brake Service,8218,34,5
20,10,3612,06-10-2025,Oil Change,28691,9,1
21,8,2995,30-08-2024,Battery Replacement,28305,22,3
22,3,285,24-05-2023,Oil Change,27793,2,4
23,11,3070,08-08-2025,Engine Repair,19570,24,4
24,8,1547,05-10-2024,General Service,19898,6,1
25,4,1597,05-08-2025,Wheel Alignment,24993,7,3
26,12,2596,03-02-2025,Brake Service,5815,26,3
27,9,2706,09-09-2023,Engine Repair,43400,1,4
28,10,326,04-08-2023,Wheel Alignment,35116,19,3
29,1,2298,02-09-2024,Brake Service,44398,35,3
30,7,1675,26-06-2023,Brake Service,9912,17,1
31,12,123,18-11-2025,Brake Service,33816,16,5
32,11,907,16-06-2024,Wheel Alignment,35491,9,2
33,7,4011,11-05-2026,Wheel Alignment,30726,38,2
34,6,87,04-04-2026,Wheel Alignment,4754,18,1
35,5,3343,03-06-2023,Battery Replacement,25400,18,5
36,9,1063,20-09-2023,Wheel Alignment,43255,22,1
37,8,4816,15-09-2024,General Service,12533,25,3
38,10,268,20-07-2023,Oil Change,18571,35,5
39,1,1184,11-07-2024,Brake Service,22482,35,5
40,7,2098,08-06-2025,Battery Replacement,20727,11,4
41,6,243,22-07-2024,Battery Replacement,6268,13,2
42,2,2489,26-12-2024,Brake Service,29427,34,1
43,1,1738,18-11-2023,Battery Replacement,27291,20,3
44,6,3868,14-07-2025,Battery Replacement,30066,16,3
45,8,162,31-07-2024,Battery Replacement,16623,35,3
46,11,2689,15-04-2026,Wheel Alignment,16726,2,3
47,8,1405,26-10-2023,Brake Service,38626,34,3
48,10,4402,03-08-2024,Engine Repair,33333,22,2
49,8,4362,04-06-2023,Oil Change,28105,18,3
50,8,1927,28-10-2025,Oil Change,30763,26,1
51,9,4761,02-08-2023,General Service,4798,9,4
52,8,4428,13-01-2025,Wheel Alignment,42794,8,4
53,11,22,21-06-2024,Wheel Alignment,11727,18,5
54,12,3315,16-11-2024,General Service,29445,29,1
55,10,2689,08-10-2023,Wheel Alignment,9313,34,5
56,6,2794,12-03-2025,Battery Replacement,29200,31,1
57,4,4074,26-08-2024,Oil Change,28751,34,2
58,11,2755,22-08-2024,General Service,35606,21,3
59,6,4711,19-04-2024,General Service,35288,21,5
60,1,2737,02-12-2024,Oil Change,20710,35,1
61,6,1427,15-02-2025,Wheel Alignment,28422,24,3
62,9,3253,21-02-2026,Brake Service,39605,20,5
63,2,867,01-06-2025,Engine Repair,23513,36,2
64,5,2853,01-11-2025,Wheel Alignment,9745,8,1
65,9,2294,29-03-2024,Battery Replacement,24271,17,4
66,11,4896,06-04-2024,Oil Change,17333,4,5
67,11,3828,03-10-2023,General Service,33865,40,5
68,2,488,09-08-2025,Oil Change,25077,8,2
69,10,4677,07-11-2024,Wheel Alignment,21659,11,1
70,6,2536,26-03-2026,Battery Replacement,44269,13,5
71,8,1689,22-09-2025,Battery Replacement,18432,18,5
72,7,1129,08-04-2025,General Service,36933,14,1
73,9,4294,22-10-2025,Wheel Alignment,27744,32,5
74,9,2463,27-07-2023,General Service,3323,2,1
75,12,4940,20-01-2024,Oil Change,40813,38,5
76,3,837,17-05-2026,Oil Change,21735,36,3
77,3,1647,10-02-2026,Wheel Alignment,27283,5,3
78,7,3273,20-09-2024,General Service,5613,18,2
79,11,4561,17-04-2026,Battery Replacement,4472,7,2
80,4,1016,18-03-2025,Wheel Alignment,18993,29,2
81,2,3012,11-01-2026,Oil Change,5518,18,1
82,12,4882,16-09-2025,Engine Repair,6407,8,3
83,10,1463,18-05-2023,Oil Change,32929,25,1
84,12,1357,02-07-2024,General Service,44030,32,3
85,10,2723,20-04-2025,Oil Change,31444,26,3
86,11,2419,17-05-2024,Oil Change,12262,20,5
87,1,423,13-01-2026,Engine Repair,25720,2,2
88,3,527,04-04-2024,Wheel Alignment,31614,20,4
89,10,4038,11-03-2025,Battery Replacement,8344,14,4
90,2,2579,30-11-2025,Engine Repair,28402,12,1
91,3,1178,12-02-2025,General Service,16379,20,3
92,2,2484,01-01-2025,General Service,5556,26,5
93,5,4968,28-07-2024,Engine Repair,2714,6,5
94,12,3363,28-12-2023,General Service,31924,28,3
95,12,2365,22-10-2025,Brake Service,19494,34,4
96,1,4893,11-08-2025,Wheel Alignment,25429,28,3
97,8,4351,15-07-2023,Wheel Alignment,41576,29,2
98,11,1407,02-11-2023,Engine Repair,12435,11,5
99,11,3504,29-09-2025,Wheel Alignment,14865,19,2
100,12,874,21-08-2023,Oil Change,33545,11,1
101,9,805,28-02-2026,Battery Replacement,6557,22,2
102,2,4806,19-03-2025,Engine Repair,7775,31,4
103,11,4313,30-06-2024,Engine Repair,24979,40,3
104,2,4910,19-11-2023,Wheel Alignment,13631,19,3
105,6,4171,20-09-2023,Wheel Alignment,2967,11,1
106,6,63,23-10-2023,Battery Replacement,4688,40,3
107,5,107,27-07-2023,Oil Change,28791,10,1
108,9,41,06-12-2023,Brake Service,32933,5,2
109,6,420,11-05-2025,Wheel Alignment,28269,34,3
110,3,3316,26-03-2024,Wheel Alignment,12466,18,1
111,7,906,12-11-2025,Oil Change,38828,38,4
112,5,357,07-04-2025,Engine Repair,3741,25,3
113,12,2721,04-04-2024,General Service,19426,20,4
114,5,3491,24-01-2025,Battery Replacement,10019,4,2
115,11,2271,27-09-2023,Engine Repair,28079,38,2
116,5,2731,19-02-2026,Brake Service,3374,17,2
117,1,1584,09-01-2026,Brake Service,2115,28,5
118,8,3728,12-10-2025,Brake Service,16290,22,3
119,7,2329,06-09-2023,Brake Service,18147,8,4
120,10,1561,10-06-2023,Engine Repair,18662,12,3
121,1,4043,21-02-2024,Engine Repair,32431,9,1
122,12,1984,01-05-2026,Oil Change,16131,35,1
123,5,2604,29-09-2025,General Service,21831,40,1
124,12,2847,08-04-2025,Oil Change,3651,19,1
125,6,4891,16-02-2025,Brake Service,42940,11,2
126,10,2448,01-11-2024,General Service,43071,20,3
127,8,619,04-04-2024,Brake Service,41185,31,1
128,8,71,06-05-2026,Brake Service,38657,34,1
129,3,2805,20-02-2024,Brake Service,18276,24,3
130,7,4966,14-06-2024,Oil Change,15487,33,4
131,7,3597,07-06-2023,General Service,29279,31,3
132,9,2519,15-11-2023,Engine Repair,37804,27,5
133,2,4433,24-02-2026,Wheel Alignment,24704,30,5
134,3,2819,16-11-2025,Brake Service,34116,14,3
135,12,1243,12-02-2026,Engine Repair,14401,15,5
136,5,2545,29-01-2024,Engine Repair,5482,22,2
137,5,4077,11-06-2023,General Service,18604,37,3
138,6,683,17-02-2025,Wheel Alignment,40116,4,5
139,4,4806,15-06-2024,General Service,27212,28,2
140,4,3248,20-06-2024,Oil Change,7390,13,2
141,10,2404,07-01-2024,Wheel Alignment,26864,5,2
142,12,3620,16-01-2026,Wheel Alignment,25331,15,3
143,12,4302,29-08-2024,Engine Repair,23235,9,2
144,2,3093,01-04-2024,Battery Replacement,23682,16,2
145,10,4894,14-03-2024,Engine Repair,29115,15,5
146,8,1440,12-04-2025,Engine Repair,23830,19,2
147,4,3876,22-07-2024,Engine Repair,5353,5,5
148,7,3897,19-03-2026,Battery Replacement,44204,37,1
149,7,503,26-10-2024,Battery Replacement,21262,27,4
150,8,3636,15-09-2025,General Service,21340,1,4
151,2,4246,10-06-2023,Oil Change,39618,26,3
152,5,3584,22-12-2023,Battery Replacement,25678,7,1
153,8,812,07-07-2024,Wheel Alignment,37943,1,1
154,9,1898,21-03-2025,Engine Repair,38991,27,4
155,10,2466,01-05-2025,General Service,38125,33,5
156,5,744,07-03-2025,Engine Repair,17581,1,2
157,10,4147,08-04-2026,Brake Service,29920,30,1
158,10,1151,13-12-2025,Engine Repair,12368,39,2
159,11,4215,03-05-2026,Engine Repair,20675,30,2
160,4,2480,19-11-2023,Battery Replacement,4793,12,2
161,3,1053,12-02-2026,Wheel Alignment,10811,37,5
162,9,2363,15-01-2025,Oil Change,43915,5,4
163,7,2284,08-06-2025,Oil Change,2820,17,2
164,4,4991,24-11-2025,Wheel Alignment,6675,8,2
165,2,4823,29-10-2024,Oil Change,29129,2,3
166,6,4284,09-08-2024,Battery Replacement,12129,5,3
167,2,3463,17-04-2025,Oil Change,23098,31,1
168,7,2726,14-04-2025,Wheel Alignment,26227,1,1
169,10,632,14-03-2025,Wheel Alignment,23074,21,2
170,3,2148,14-04-2026,Oil Change,8681,35,2
171,2,4532,12-09-2025,Oil Change,37686,15,3
172,8,3350,09-09-2023,Engine Repair,39728,24,1
173,11,2744,09-05-2025,General Service,17749,21,2
174,9,1141,13-12-2025,Brake Service,6206,12,1
175,9,2175,30-11-2024,Oil Change,38778,23,4
176,8,4841,20-12-2025,Battery Replacement,10576,7,4
177,6,4348,21-05-2024,Brake Service,28253,21,1
178,2,841,09-08-2024,Brake Service,38915,17,2
179,10,503,05-12-2023,Wheel Alignment,43513,14,5
180,8,3514,26-08-2025,Brake Service,21376,1,4
181,1,3207,05-08-2023,General Service,41407,7,4
182,8,1388,17-04-2026,Wheel Alignment,39075,16,5
183,6,4365,18-12-2024,General Service,16791,4,5
184,4,2980,02-06-2023,Engine Repair,44795,35,3
185,3,603,16-04-2026,General Service,5794,19,3
186,3,3876,14-01-2024,Brake Service,19663,8,5
187,9,1253,26-10-2025,General Service,34345,11,3
188,1,741,21-10-2024,Brake Service,11719,37,5
189,3,4034,08-08-2024,Wheel Alignment,34926,13,2
190,7,2898,12-01-2025,Engine Repair,32367,15,3
191,9,2226,20-02-2024,Battery Replacement,11662,17,2
192,7,554,17-05-2026,Oil Change,38849,12,5
193,3,4521,03-08-2023,Battery Replacement,4717,2,3
194,3,3998,25-06-2024,Battery Replacement,3571,31,2
195,11,1016,17-01-2025,Brake Service,43500,7,1
